id	cost	status	
411	6032	0	
412	63435	0	
413	33692	0	
414	279404	0	
415	153295	0	
416	751512	0	
417	253409	0	
418	670	2	
419	515917	0	
420	107723	0	
421	371368	0	
422	327033	0	
423	130232	0	
424	74340	0	
425	345	0	
426	172996	0	
427	312088	0	
428	0	3	
429	2268	0	
430	29095	0	
431	0	2	
432	0	2	
433	0	2	
434	0	2	
435	36414	0	
436	15229	0	
437	94959	0	
438	8008	0	
439	219619	0	
440	77927	0	
441	59496	0	
442	0	2	
443	0	2	
444	16366	0	
445	23296	0	
446	322120	0	
447	39823	0	
448	1016	0	
449	8225	0	
450	13043	0	
451	187189	0	
452	29898	0	
453	64250	0	
454	178075	0	
455	22236	0	
456	48994	0	
457	368184	0	
458	76325	0	
459	17318	0	
460	252641	0	
461	918	0	
462	0	2	
463	0	2	
464	184997	0	
465	44202	0	
466	2223	0	
467	67341	0	
468	18322	0	
469	402020	0	
470	18564	0	
471	113355	0	
472	1718	0	
473	32	0	
474	74051	0	
475	6234	0	
476	46900	0	
477	14305	0	
478	1551	0	
479	2654	0	
480	178605	0	
481	45091	0	
482	30513	0	
483	1581	0	
484	128635	0	
485	8888	0	
486	125873	0	
487	203	0	
488	88	0	
489	14250	0	
490	171597	0	
491	266	0	
492	0	3	
493	240452	2	
494	453008	0	
495	0	2	
496	0	2	
497	0	2	
498	0	2	
499	4773	0	
500	4941	0	
501	0	2	
502	0	2	
503	0	2	
504	0	2	
505	0	2	
506	0	2	
507	564	0	
508	345	0	
509	19	0	
510	3076	0	
511	164	0	
512	44157	0	
513	2	0	
514	4763	0	
515	0	2	
516	0	2	
517	7171	0	
518	430	2	
519	2410	2	
520	121667	0	
521	35156	0	
522	12239	0	
523	12429	0	
524	302475	0	
525	63485	0	
526	6276	0	
527	1978	0	
528	81481	2	
529	188177	0	
530	0	3	
531	75339	0	
532	1838	0	
533	3979	0	
534	664	0	
535	9886	0	
536	245949	0	
537	948485	0	
538	38920	0	
539	104842	0	
540	0	3	
541	368587	0	
542	1821	2	
543	4	0	
544	2132	0	
545	43256	0	
546	910	0	
547	6050	2	
548	0	2	
549	0	2	
550	347643	0	
551	41784	0	
552	200827	0	
553	39801	0	
554	330103	0	
555	32723	0	
556	44135	0	
557	136173	0	
558	12876	0	
559	4492	0	
560	29922	0	
561	1618	3	
562	101190	0	
563	53679	0	
564	277761	0	
565	212164	0	
566	304959	0	
567	192643	0	
568	16593	0	
569	117299	0	
570	144027	0	
571	7343	0	
572	418	0	
573	15794	3	
574	2309	0	
575	2203	0	
576	159	0	
577	7556	0	
578	295612	0	
579	1433	2	
580	4592	0	
581	7203	0	
582	905	0	
583	18832	0	
584	535438	0	
585	597998	0	
586	6277	0	
587	20328	0	
588	98468	0	
589	154	0	
590	0	2	
591	0	2	
592	0	2	
593	0	2	
594	0	2	
595	0	2	
596	0	2	
597	0	2	
598	0	2	
599	0	2	
600	0	3	
601	0	2	
602	0	2	
603	0	3	
604	0	2	
605	0	2	
606	0	2	
607	0	2	
608	0	3	
609	0	2	
610	0	2	
611	0	2	
612	0	2	
613	0	2	
614	0	2	
615	0	2	
616	60984	2	
617	0	2	
618	2875	2	
619	0	2	
620	3845	0	
621	49110	0	
622	16178	0	
623	0	2	
624	0	2	
625	101886	0	
626	63	2	
627	870647	0	
628	42253	0	
629	342722	0	
630	123065	0	
631	176008	0	
632	718626	2	
633	315270	0	
634	317985	0	
635	599957	2	
636	169646	0	
637	2616685	2	
638	2734223	2	
639	4007604	2	
640	207661	0	
641	124555	0	
642	306332	0	
643	805961	0	
644	636699	0	
645	639351	0	
646	476635	0	
647	661263	0	
648	141409	0	
649	459254	0	
650	0	2	
651	1145625	0	
652	167561	0	
653	5334	2	
654	247979	0	
655	97954	0	
656	0	2	
657	35203	0	
658	27632	0	
659	688	0	
660	60840	0	
661	525159	0	
662	3363618	2	
663	287118	0	
664	510427	0	
665	514857	0	
666	36225	0	
667	206566	0	
668	1307176	0	
669	192	0	
670	69106	0	
